0 5 10
5 92 59
5 93 50
5 94 37
5 95 81
5 96 77
5 97 57
5 98 73
5 99 26
6 7 47
6 8 82
6 9 81
6 10 35
6 11 20
6 12 46
6 14 98
6 15 76
6 16 92
6 17 73
6 18 36
6 21 57
6 22 50
6 24 58
6 25 9
6 26 92
6 27 26
6 33 72
6 34 67
6 35 27
6 36 0
6 37 62
6 38 15
6 40 60
6 45 98
6 46 68
6 47 88
6 48 80
6 49 69
6 50 53
6 52 18
6 53 82
6 54 28
6 55 31
6 56 22
6 57 6
6 58 70
6 60 61
6 61 64
6 63 9
6 65 51
6 66 91
6 67 82
6 68 27
6 69 7
6 70 77
6 72 77
6 73 55
6 75 8
6 76 19
6 77 15
6 78 32
6 80 55
6 81 82
6 82 64
6 84 69
6 85 93
6 87 82
6 88 20
6 89 52
6 90 66
6 91 65
6 92 33
6 93 92
6 94 62
6 96 69
6 97 79
6 98 22
6 99 84
7 8 16
7 9 45
7 10 80
7 11 80
7 15 44
7 18 10
7 19 68
7 20 14
7 21 54
7 22 99
7 23 3
7 24 19
7 25 89
7 26 54
7 28 34
7 29 5
7 30 71
7 32 44
7 33 25
7 34 70
7 35 89
7 36 33
7 37 19
7 39 6
7 41 55
7 42 5
7 44 2
7 45 66
7 46 60
7 48 95
7 49 48
7 51 81
7 53 27
7 55 88
7 56 61
7 57 35
7 59 16
7 60 80
7 63 67
7 64 90
7 66 52
7 67 16
7 68 33
7 69 59
7 70 72
7 71 77
7 72 76
7 73 67
7 75 80
7 76 24
7 77 98
7 78 21
7 79 11
7 80 8
7 82 59
7 84 8
7 85 41
7 86 3
7 88 30
7 89 57
7 90 28
7 93 98
7 94 22
7 96 91
7 97 56
7 98 33
8 9 42
8 10 92
8 11 14
8 13 64
8 14 87
8 15 7
8 16 31
8 17 74
8 18 68
8 19 25
8 21 68
8 23 88
8 25 47
8 26 26
8 28 38
8 29 15
8 30 10
8 32 93
8 33 99
8 35 81
8 38 52
8 45 87
8 46 49
8 48 85
8 51 92
8 52 16
8 53 95
8 54 73
8 55 86
8 56 20
8 57 91
8 58 39
8 60 52
8 61 12
8 63 70
8 66 23
8 67 45
8 69 28
8 71 77
8 75 20
8 76 53
8 77 47
8 78 93
8 81 85
8 83 31
8 84 24
8 85 56
8 87 31
8 88 37
8 90 10
8 91 12
8 93 48
8 95 89
8 96 25
8 97 17
8 98 40
9 12 58
9 15 42
9 16 87
9 19 27
9 20 85
9 21 58
9 23 90
9 24 57
9 26 8
9 27 14
9 28 40
9 39 43
9 42 32
9 43 49
9 44 46
9 45 14
9 47 54
9 48 34
9 50 58
9 51 16
9 53 65
9 56 38
9 57 25
9 60 93
9 64 59
9 67 10
9 69 15
9 71 54
9 72 90
9 77 82
9 86 70
9 87 83
9 88 45
9 91 53
9 92 23
9 94 81
9 97 93
9 98 64
10 11 41
10 14 98
10 15 0
10 16 38
10 18 1
10 19 5
10 20 32
10 21 44
10 22 86
10 23 10
10 24 85
10 25 57
10 27 8
10 29 90
10 33 52
10 34 69
10 35 25
10 36 19
10 38 36
10 39 95
10 40 9
10 42 59
10 43 19
10 44 94
10 45 16
10 46 81
10 47 36
10 48 34
10 49 89
10 50 6
10 54 51
10 55 33
10 56 79
10 57 98
10 58 31
10 59 9
10 60 75
10 62 42
10 63 8
10 64 61
10 65 37
10 66 38
10 67 46
10 68 72
10 69 41
10 70 80
10 71 4
10 73 66
10 75 80
10 76 7
10 78 0
10 79 60
10 80 32
10 81 6
10 83 78
10 84 99
10 86 13
10 87 49
10 88 25
10 90 17
10 93 59
10 94 96
10 95 34
10 96 83
11 12 2
11 16 43
11 17 5
11 18 96
11 19 91
11 21 54
11 22 96
11 23 11
11 24 25
11 25 58
11 28 65
11 30 90
11 32 86
11 36 1
11 37 87
11 39 56
11 41 87
11 42 46
11 43 63
11 44 49
11 45 21
11 46 2
11 47 57
11 48 84
11 50 75
11 51 46
11 54 24
11 56 13
11 59 52
11 60 2
11 62 12
11 63 28
11 65 45
11 66 93
11 67 63
11 69 61
11 71 36
11 73 91
11 74 47
11 75 3
11 76 39
11 77 15
11 78 91
11 80 98
11 82 58
11 84 84
11 85 47
11 86 27
11 87 36
11 89 29
11 90 53
11 91 17
11 92 7
11 93 14
11 97 95
11 99 12
12 13 62
12 15 14
12 16 19
12 17 83
12 18 78
12 19 11
12 21 0
12 23 39
12 24 52
12 25 33
12 26 33
12 27 46
12 28 92
12 29 79
12 31 20
12 34 82
12 39 29
12 40 36
12 43 51
12 44 74
12 47 19
12 48 12
12 49 78
12 50 72
12 51 0
12 52 88
12 53 87
12 54 48
12 60 80
12 63 79
12 65 96
12 66 78
12 67 10
12 68 55
12 71 68
12 73 42
12 79 14
12 84 57
12 90 66
12 92 42
12 93 47
12 96 68
12 98 11
12 99 38
13 15 19
13 21 50
13 22 42
13 23 92
13 24 50
13 25 80
13 26 53
13 28 39
13 30 94
13 33 66
13 34 38
13 35 52
13 38 66
13 39 63
13 43 42
13 48 91
13 49 90
13 50 81
13 53 78
13 56 5
13 59 46
13 60 0
13 63 9
13 64 39
13 66 8
13 67 95
13 68 30
13 69 57
13 70 85
13 72 61
13 73 18
13 74 86
13 75 55
13 77 21
13 78 53
13 83 34
13 84 62
13 85 60
13 87 26
13 93 33
13 95 33
13 96 85
13 98 22
14 18 71
14 21 59
14 22 53
14 23 86
14 24 99
14 26 78
14 27 47
14 35 79
14 36 24
14 42 79
14 43 21
14 46 45
14 47 84
14 49 91
14 50 73
14 57 15
14 60 50
14 63 35
14 66 3
14 67 48
14 69 14
14 70 26
14 71 98
14 72 3
14 73 81
14 75 39
14 77 44
14 78 79
14 81 5
14 82 37
14 83 32
14 84 46
14 85 2
14 86 1
14 94 9
14 96 24
14 97 98
14 98 88
15 17 84
15 18 38
15 21 85
15 22 45
15 25 39
15 26 13
15 28 39
15 29 14
15 34 40
15 35 36
15 37 34
15 38 18
15 39 13
15 41 55
15 42 12
15 43 2
15 44 30
15 45 83
15 46 10
15 47 2
15 49 93
15 53 31
15 55 3
15 58 17
15 63 95
15 64 50
15 65 43
15 67 63
15 68 2
15 69 37
15 70 72
15 71 77
15 72 74
15 73 35
15 75 82
15 76 11
15 79 67
15 81 23
15 82 31
15 84 58
15 85 19
15 86 44
15 89 23
15 92 33
15 93 39
15 95 98
15 97 23
15 98 52
15 99 15
16 17 44
16 18 61
16 19 24
16 20 30
16 21 39
16 22 23
16 23 69
16 25 92
16 26 8
16 27 49
16 29 71
16 30 34
16 31 34
16 33 33
16 34 10
16 36 13
16 37 83
16 38 77
16 39 0
16 41 89
16 44 74
16 45 52
16 46 58
16 47 50
16 48 86
16 49 11
16 50 18
16 54 86
16 55 33
16 58 21
16 61 69
16 62 77
16 64 13
16 65 28
16 66 52
16 67 51
16 68 9
16 70 17
16 71 12
16 72 38
16 73 63
16 75 62
16 76 91
16 77 6
16 79 24
16 81 20
16 83 41
16 84 86
16 85 60
16 86 40
16 87 96
16 88 45
16 92 70
16 94 60
16 95 97
16 97 27
16 99 59
17 18 65
17 19 93
17 22 88
17 23 79
17 24 6
17 25 28
17 32 1
17 33 51
17 35 15
17 37 27
17 38 28
17 39 12
17 41 64
17 43 89
17 45 96
17 46 34
17 47 73
17 48 18
17 50 1
17 51 11
17 52 19
17 55 49
17 56 77
17 59 20
17 60 21
17 61 56
17 62 72
17 63 49
17 64 23
17 65 28
17 66 16
17 68 17
17 71 76
17 72 83
17 73 73
17 74 79
17 75 66
17 76 90
17 77 76
17 79 19
17 80 34
17 81 24
17 82 50
17 84 69
17 85 74
17 86 6
17 88 9
17 90 11
17 91 82
17 92 46
17 93 88
17 94 93
17 95 29
17 96 31
17 97 38
18 19 79
18 20 27
18 21 69
18 24 45
18 25 37
18 27 58
18 28 73
18 29 27
18 30 2
18 31 22
18 32 22
18 33 60
18 35 19
18 37 13
18 39 12
18 40 23
18 41 65
18 42 64
18 43 18
18 46 77
18 47 2
18 48 50
18 49 30
18 50 30
18 51 70
18 52 50
18 53 36
18 54 59
18 57 83
18 60 27
18 63 69
18 65 99
18 66 64
18 67 25
18 68 22
18 69 45
18 70 60
18 71 34
18 73 49
18 74 36
18 75 44
18 76 42
18 77 67
18 78 35
18 80 71
18 81 94
18 82 61
18 83 55
18 84 93
18 86 16
18 87 87
18 89 12
18 90 20
18 93 23
18 96 58
18 99 21
19 20 87
19 21 75
19 22 9
19 23 69
19 24 96
19 25 0
19 26 5
19 27 22
19 28 62
19 29 31
19 30 47
19 31 91
19 33 24
19 34 18
19 35 57
19 36 90
19 38 51
19 41 60
19 43 78
19 44 42
19 45 58
19 47 30
19 48 15
19 49 98
19 50 60
19 51 44
19 53 30
19 55 92
19 56 97
19 57 76
19 58 90
19 60 64
19 63 68
19 65 45
19 68 41
19 70 58
19 72 40
19 73 51
19 74 86
19 76 80
19 77 51
19 81 32
19 84 86
19 85 99
19 86 40
19 88 23
19 93 99
19 94 13
19 95 24
19 96 69
19 97 42
20 24 37
20 25 79
20 26 89
20 27 8
20 28 14
20 29 57
20 30 51
20 33 53
20 36 38
20 37 85
20 39 25
20 40 27
20 42 86
20 43 58
20 44 90
20 45 80
20 47 17
20 49 15
20 56 5
20 61 31
20 62 21
20 63 23
20 65 55
20 66 94
20 67 2
20 68 39
20 71 44
20 75 68
20 77 49
20 80 16
20 83 11
20 84 26
20 86 69
20 90 33
20 96 33
20 97 24
21 22 92
21 25 2
21 26 71
21 27 83
21 30 64
21 31 40
21 32 36
21 34 36
21 35 75
21 36 98
21 37 82
21 38 84
21 39 88
21 42 36
21 45 71
21 46 13
21 47 94
21 50 72
21 51 7
21 52 9
21 53 36
21 54 20
21 55 26
21 57 29
21 58 45
21 60 8
21 62 82
21 63 3
21 64 38
21 66 29
21 67 48
21 68 40
21 70 27
21 71 41
21 72 38
21 73 56
21 75 81
21 76 53
21 77 31
21 78 3
21 79 81
21 80 97
21 83 93
21 84 35
21 86 83
21 91 77
21 92 48
21 94 24
21 95 66
21 96 89
21 97 69
21 99 8
22 23 9
22 24 68
22 25 20
22 26 50
22 27 87
22 28 48
22 29 89
22 30 71
22 31 52
22 33 92
22 34 18
22 35 33
22 36 93
22 37 73
22 38 96
22 39 13
22 41 15
22 42 44
22 43 39
22 45 3
22 46 48
22 47 30
22 49 11
22 50 22
22 51 34
22 53 28
22 54 91
22 55 36
22 56 58
22 57 15
22 60 79
22 62 89
22 65 85
22 67 52
22 69 65
22 71 55
22 73 42
22 75 48
22 76 97
22 77 29
22 78 20
22 80 20
22 82 30
22 84 4
22 85 4
22 87 46
22 88 35
22 89 63
22 90 3
22 95 48
22 97 84
23 24 92
23 25 72
23 26 67
23 29 75
23 33 88
23 34 79
23 35 8
23 37 65
23 39 41
23 40 73
23 41 83
23 42 44
23 44 31
23 45 17
23 46 50
23 47 76
23 48 0
23 49 51
23 50 90
23 51 55
23 52 41
23 54 74
23 55 24
23 56 52
23 58 92
23 59 34
23 60 82
23 66 43
23 67 22
23 68 31
23 70 37
23 71 30
23 72 22
23 73 17
23 74 98
23 75 25
23 76 5
23 77 24
23 79 21
23 80 96
23 81 3
23 82 55
23 84 87
23 85 15
23 86 19
23 88 82
23 89 78
23 90 61
23 94 25
23 95 58
23 96 72
23 97 91
23 99 2
24 25 38
24 26 90
24 27 8
24 28 11
24 29 31
24 30 20
24 34 71
24 35 62
24 36 36
24 37 45
24 40 10
24 41 43
24 42 18
24 43 91
24 44 81
24 46 78
24 47 9
24 48 96
24 49 93
24 50 78
24 51 25
24 53 96
24 55 87
24 56 48
24 59 30
24 60 31
24 62 14
24 63 57
24 64 45
24 66 29
24 67 45
24 68 23
24 69 51
24 71 20
24 73 16
24 76 64
24 78 90
24 79 17
24 82 89
24 83 29
24 84 45
24 86 14
24 87 87
24 88 12
24 89 57
24 93 91
24 97 11
24 99 99
25 26 19
25 27 8
25 28 76
25 29 52
25 33 44
25 35 60
25 36 53
25 37 65
25 38 81
25 39 70
25 40 14
25 42 94
25 43 54
25 44 64
25 45 38
25 47 29
25 48 21
25 49 61
25 50 61
25 51 15
25 54 28
25 55 20
25 56 25
25 57 38
25 58 65
25 59 44
25 60 9
25 61 4
25 62 64
25 63 80
25 65 94
25 66 52
25 67 81
25 68 51
25 70 64
25 72 43
25 74 21
25 76 54
25 77 61
25 78 96
25 80 97
25 81 62
25 82 18
25 83 57
25 84 58
25 85 43
25 89 11
25 91 69
25 92 95
25 94 94
25 95 99
25 98 68
26 27 45
26 28 22
26 31 55
26 32 29
26 34 59
26 35 35
26 36 75
26 37 86
26 38 54
26 39 13
26 42 34
26 43 91
26 45 65
26 46 3
26 47 73
26 48 48
26 49 54
26 50 39
26 52 77
26 53 48
26 54 41
26 55 99
26 56 12
26 57 44
26 58 20
26 59 17
26 60 94
26 61 64
26 62 12
26 63 62
26 64 98
26 65 2
26 66 76
26 68 92
26 70 81
26 72 75
26 73 88
26 74 8
26 75 31
26 77 52
26 78 51
26 80 34
26 81 80
26 82 50
26 84 55
26 86 40
26 88 43
26 90 60
26 91 66
26 97 38
26 98 37
26 99 27
27 28 48
27 29 14
27 30 48
27 33 92
27 36 1
27 37 62
27 39 41
27 40 56
27 41 13
27 42 99
27 43 97
27 45 22
27 48 83
27 49 97
27 50 2
27 51 6
27 53 94
27 54 16
27 56 49
27 59 72
27 60 39
27 61 28
27 63 32
27 65 8
27 66 47
27 68 83
27 69 36
27 70 24
27 71 35
27 72 15
27 73 38
27 77 5
27 78 90
27 79 72
27 83 91
27 85 40
27 86 3
27 87 17
27 88 38
27 92 65
27 93 56
27 95 13
27 96 35
27 98 46
28 29 42
28 30 53
28 32 50
28 33 18
28 35 90
28 36 43
28 37 52
28 39 62
28 42 62
28 43 15
28 44 14
28 45 36
28 46 12
28 47 19
28 48 91
28 49 12
28 50 76
28 51 93
28 52 2
28 54 54
28 55 33
28 56 1
28 57 48
28 58 60
28 60 21
28 61 63
28 62 93
28 65 89
28 66 70
28 68 98
28 69 41
28 72 39
28 73 73
28 74 88
28 75 10
28 77 32
28 78 17
28 80 72
28 84 20
28 85 54
28 89 82
28 91 40
28 93 14
28 96 83
28 97 11
29 30 73
29 31 73
29 36 56
29 40 56
29 43 78
29 46 44
29 47 29
29 48 45
29 50 46
29 51 79
29 52 21
29 53 45
29 55 58
29 56 17
29 58 9
29 60 21
29 66 66
29 67 12
29 68 47
29 70 69
29 71 19
29 72 10
29 73 25
29 75 87
29 78 84
29 81 43
29 82 32
29 83 93
29 84 85
29 85 85
29 87 77
29 91 45
29 92 98
29 94 65
29 95 48
29 96 41
29 97 67
29 99 55
30 35 67
30 36 18
30 37 95
30 38 24
30 40 95
30 42 38
30 43 51
30 45 90
30 47 31
30 48 77
30 49 70
30 51 76
30 53 14
30 57 86
30 58 0
30 60 39
30 65 75
30 66 37
30 67 70
30 68 13
30 70 28
30 71 48
30 72 3
30 73 62
30 75 96
30 76 99
30 79 70
30 80 31
30 82 55
30 83 53
30 84 77
30 87 65
30 90 51
30 93 76
30 99 76
31 37 38
31 38 34
31 39 32
31 44 0
31 45 91
31 48 6
31 50 51
31 54 98
31 63 23
31 66 15
31 68 8
31 71 60
31 73 81
31 75 82
31 80 31
31 86 56
31 96 31
31 97 2
32 34 41
32 35 20
32 36 31
32 37 29
32 38 60
32 39 23
32 45 45
32 48 4
32 49 71
32 50 12
32 51 52
32 53 23
32 56 21
32 59 13
32 64 40
32 70 48
32 73 39
32 75 6
32 77 81
32 78 43
32 79 7
32 80 32
32 83 52
32 84 57
32 85 86
32 86 90
32 89 39
32 91 59
32 93 67
32 94 37
32 95 3
32 96 49
32 97 19
32 99 96
33 34 50
33 35 73
33 36 37
33 37 54
33 39 94
33 40 79
33 41 85
33 42 43
33 44 54
33 45 35
33 47 85
33 48 0
33 50 74
33 51 58
33 52 16
33 53 25
33 54 42
33 55 74
33 56 85
33 58 51
33 60 8
33 63 16
33 64 82
33 65 44
33 66 72
33 67 63
33 68 38
33 69 76
33 70 8
33 71 78
33 72 51
33 73 37
33 74 90
33 77 16
33 79 98
33 80 87
33 81 56
33 84 72
33 85 37
33 86 43
33 89 81
33 90 92
33 91 77
33 92 21
33 93 88
33 94 58
33 95 70
33 96 95
33 98 62
33 99 21
34 35 91
34 36 39
34 37 1
34 39 64
34 41 99
34 42 65
34 43 73
34 45 12
34 47 80
34 48 12
34 50 31
34 51 83
34 53 96
34 54 42
34 55 62
34 58 85
34 62 56
34 63 9
34 66 2
34 68 79
34 70 70
34 71 72
34 73 93
34 77 19
34 80 38
34 84 99
34 85 51
34 87 83
34 88 92
34 89 70
34 92 18
34 94 12
34 95 14
34 96 4
35 36 47
35 37 25
35 38 39
35 39 78
35 40 78
35 42 60
35 43 92
35 44 78
35 45 16
35 46 44
35 47 82
35 48 90
35 51 59
35 52 20
35 53 58
35 54 54
35 55 48
35 56 16
35 58 60
35 59 85
35 60 95
35 61 8
35 62 56
35 63 93
35 65 66
35 67 44
35 70 20
35 71 77
35 73 63
35 74 89
35 75 97
35 78 99
35 79 62
35 80 47
35 83 20
35 84 49
35 85 94
35 87 10
35 88 58
35 89 13
35 90 38
35 92 55
35 93 13
35 94 62
35 97 10
36 38 8
36 40 74
36 41 99
36 43 64
36 44 2
36 45 46
36 48 47
36 49 32
36 51 9
36 53 27
36 55 68
36 56 12
36 57 16
36 60 62
36 62 79
36 63 20
36 64 69
36 68 85
36 69 69
36 70 24
36 71 17
36 72 76
36 73 17
36 75 89
36 76 74
36 77 88
36 78 35
36 81 73
36 84 2
36 85 38
36 86 42
36 90 39
36 93 69
36 94 68
36 95 4
36 96 68
36 98 98
36 99 68
37 38 59
37 39 44
37 40 61
37 42 48
37 43 49
37 44 2
37 45 84
37 46 65
37 47 27
37 48 27
37 50 80
37 51 51
37 53 95
37 54 83
37 55 15
37 56 78
37 57 8
37 58 62
37 60 85
37 62 33
37 63 52
37 64 28
37 65 87
37 66 8
37 67 82
37 68 23
37 69 82
37 70 13
37 72 21
37 73 23
37 74 22
37 75 51
37 77 26
37 78 71
37 80 10
37 82 59
37 84 62
37 85 66
37 86 79
37 87 9
37 89 31
37 92 87
37 94 25
37 95 30
37 96 74
37 97 89
37 98 6
37 99 44
38 39 80
38 42 37
38 43 34
38 44 13
38 45 7
38 49 63
38 51 11
38 52 8
38 53 31
38 55 62
38 56 80
38 58 88
38 60 89
38 62 36
38 63 45
38 64 29
38 65 44
38 66 95
38 67 79
38 68 68
38 70 86
38 71 71
38 73 24
38 74 10
38 75 65
38 77 96
38 78 54
38 80 97
38 81 98
38 82 69
38 84 78
38 85 96
38 87 49
38 90 58
38 92 83
38 93 51
38 94 9
38 96 96
38 97 14
38 98 36
38 99 87
39 40 57
39 43 19
39 45 57
39 46 39
39 47 25
39 48 69
39 52 98
39 53 53
39 54 87
39 55 68
39 56 69
39 58 47
39 59 37
39 61 62
39 62 30
39 63 76
39 65 2
39 66 27
39 67 39
39 68 61
39 70 78
39 71 69
39 73 3
39 75 71
39 76 83
39 77 59
39 80 61
39 81 87
39 82 59
39 85 42
39 86 41
39 90 68
39 92 46
39 94 93
39 95 14
39 96 4
39 97 6
39 98 24
40 42 95
40 47 5
40 48 68
40 50 51
40 53 81
40 54 52
40 56 55
40 58 52
40 60 18
40 66 80
40 70 92
40 75 40
40 76 45
40 78 99
40 79 81
40 84 26
40 93 18
40 96 35
40 97 65
40 99 54
41 42 39
41 43 17
41 44 58
41 45 21
41 47 14
41 48 77
41 51 90
41 52 19
41 55 53
41 60 62
41 63 58
41 64 47
41 68 84
41 70 40
41 72 89
41 73 44
41 75 72
41 76 10
41 78 85
41 80 56
41 83 90
41 84 62
41 85 38
41 86 4
41 90 72
41 97 75
42 43 47
42 44 10
42 45 2
42 46 10
42 47 25
42 48 71
42 49 81
42 50 65
42 51 7
42 54 47
42 59 36
42 60 93
42 62 19
42 66 30
42 69 86
42 71 40
42 73 90
42 74 61
42 75 15
42 76 19
42 77 34
42 80 73
42 81 54
42 82 45
42 83 10
42 84 33
42 85 88
42 89 74
42 90 58
42 93 86
42 94 4
42 95 23
42 96 56
42 97 43
42 98 27
42 99 75
43 44 31
43 45 75
43 46 97
43 47 13
43 48 38
43 49 18
43 50 6
43 51 49
43 52 98
43 53 79
43 54 56
43 56 95
43 57 25
43 58 91
43 62 36
43 64 46
43 65 54
43 66 71
43 67 23
43 68 23
43 69 57
43 70 53
43 71 92
43 73 57
43 76 48
43 77 53
43 79 14
43 82 44
43 84 2
43 87 47
43 88 69
43 90 66
43 91 69
43 93 75
43 94 32
43 95 39
43 99 1
44 46 88
44 47 55
44 50 40
44 51 42
44 53 41
44 54 22
44 56 56
44 66 40
44 67 4
44 68 75
44 69 74
44 70 11
44 71 70
44 75 68
44 77 43
44 81 40
44 82 92
44 83 7
44 84 40
44 86 22
44 94 65
44 96 57
44 97 29
44 98 93
44 99 99
45 47 35
45 48 15
45 49 22
45 50 70
45 51 24
45 52 18
45 53 51
45 54 4
45 55 40
45 56 44
45 57 10
45 58 56
45 59 63
45 61 18
45 62 62
45 63 59
45 64 32
45 65 17
45 66 18
45 67 79
45 69 33
45 70 59
45 74 94
45 75 88
45 76 76
45 77 94
45 78 60
45 80 67
45 81 28
45 83 89
45 84 48
45 85 96
45 87 16
45 89 45
45 90 29
45 91 19
45 92 33
45 93 2
45 94 58
45 95 20
45 96 75
45 99 70
46 47 55
46 48 69
46 49 42
46 50 71
46 51 97
46 52 48
46 54 3
46 55 70
46 56 50
46 58 53
46 60 85
46 61 37
46 63 95
46 66 77
46 67 65
46 68 91
46 69 47
46 70 98
46 71 22
46 72 66
46 73 96
46 75 55
46 76 92
46 78 15
46 79 61
46 81 94
46 82 35
46 84 62
46 85 46
46 86 23
46 88 63
46 89 59
46 90 36
46 91 80
46 92 94
46 93 81
46 94 23
46 95 37
46 97 82
46 98 50
46 99 46
47 48 81
47 49 84
47 50 88
47 51 88
47 52 81
47 53 87
47 54 25
47 55 67
47 56 71
47 58 25
47 59 34
47 60 79
47 62 62
47 63 80
47 64 47
47 65 78
47 66 43
47 67 29
47 69 15
47 70 78
47 71 71
47 72 42
47 74 86
47 75 63
47 77 83
47 79 32
47 80 93
47 81 14
47 82 97
47 83 57
47 84 76
47 85 45
47 86 70
47 88 68
47 90 93
47 91 85
47 92 8
47 95 95
47 96 43
47 97 0
47 99 26
48 49 99
48 50 50
48 51 57
48 52 92
48 53 41
48 54 32
48 55 48
48 56 33
48 57 63
48 60 63
48 61 72
48 62 46
48 63 29
48 64 66
48 65 95
48 66 51
48 67 21
48 68 65
48 71 86
48 72 92
48 73 7
48 74 93
48 75 95
48 76 3
48 77 38
48 78 58
48 80 39
48 81 50
48 82 94
48 83 54
48 85 97
48 86 48
48 87 87
48 88 92
48 89 88
48 90 29
48 91 20
48 93 94
48 94 54
48 95 82
48 96 27
48 97 87
48 98 78
48 99 0
49 50 42
49 51 99
49 52 50
49 53 96
49 55 64
49 56 69
49 58 51
49 61 46
49 62 9
49 63 31
49 66 15
49 69 42
49 70 27
49 71 83
49 72 42
49 77 10
49 78 36
49 79 7
49 81 42
49 82 60
49 84 12
49 86 98
49 87 94
49 88 13
49 89 77
49 90 29
49 91 89
49 92 95
49 93 21
49 94 52
49 95 35
49 96 54
49 97 35
49 98 76
49 99 5
50 51 30
50 54 28
50 55 54
50 57 87
50 60 86
50 62 57
50 63 63
50 65 60
50 66 0
50 68 33
50 69 87
50 72 20
50 73 90
50 75 66
50 77 0
50 82 77
50 83 80
50 84 17
50 85 56
50 86 94
50 89 43
50 92 48
50 93 36
50 94 49
50 95 96
50 96 9
50 97 63
50 99 84
51 52 61
51 53 56
51 55 87
51 56 45
51 59 16
51 60 44
51 61 23
51 64 29
51 65 86
51 66 33
51 67 63
51 68 6
51 69 23
51 70 71
51 71 40
51 72 67
51 73 12
